,unique_id,mapped_id
0,FOODS_1_CA_1,0
1,FOODS_1_CA_2,1
2,FOODS_1_CA_3,2
3,FOODS_1_CA_4,3
4,FOODS_1_TX_1,4
5,FOODS_1_TX_2,5
6,FOODS_1_TX_3,6
7,FOODS_1_WI_1,7
8,FOODS_1_WI_2,8
9,FOODS_1_WI_3,9
10,FOODS_2_CA_1,10
11,FOODS_2_CA_2,11
12,FOODS_2_CA_3,12
13,FOODS_2_CA_4,13
14,FOODS_2_TX_1,14
15,FOODS_2_TX_2,15
16,FOODS_2_TX_3,16
17,FOODS_2_WI_1,17
18,FOODS_2_WI_2,18
19,FOODS_2_WI_3,19
20,FOODS_3_CA_1,20
21,FOODS_3_CA_2,21
22,FOODS_3_CA_3,22
23,FOODS_3_CA_4,23
24,FOODS_3_TX_1,24
25,FOODS_3_TX_2,25
26,FOODS_3_TX_3,26
27,FOODS_3_WI_1,27
28,FOODS_3_WI_2,28
29,FOODS_3_WI_3,29
30,HOBBIES_1_CA_1,30
31,HOBBIES_1_CA_2,31
32,HOBBIES_1_CA_3,32
33,HOBBIES_1_CA_4,33
34,HOBBIES_1_TX_1,34
35,HOBBIES_1_TX_2,35
36,HOBBIES_1_TX_3,36
37,HOBBIES_1_WI_1,37
38,HOBBIES_1_WI_2,38
39,HOBBIES_1_WI_3,39
40,HOBBIES_2_CA_1,40
41,HOBBIES_2_CA_2,41
42,HOBBIES_2_CA_3,42
43,HOBBIES_2_CA_4,43
44,HOBBIES_2_TX_1,44
45,HOBBIES_2_TX_2,45
46,HOBBIES_2_TX_3,46
47,HOBBIES_2_WI_1,47
48,HOBBIES_2_WI_2,48
49,HOBBIES_2_WI_3,49
50,HOUSEHOLD_1_CA_1,50
51,HOUSEHOLD_1_CA_2,51
52,HOUSEHOLD_1_CA_3,52
53,HOUSEHOLD_1_CA_4,53
54,HOUSEHOLD_1_TX_1,54
55,HOUSEHOLD_1_TX_2,55
56,HOUSEHOLD_1_TX_3,56
57,HOUSEHOLD_1_WI_1,57
58,HOUSEHOLD_1_WI_2,58
59,HOUSEHOLD_1_WI_3,59
60,HOUSEHOLD_2_CA_1,60
61,HOUSEHOLD_2_CA_2,61
62,HOUSEHOLD_2_CA_3,62
63,HOUSEHOLD_2_CA_4,63
64,HOUSEHOLD_2_TX_1,64
65,HOUSEHOLD_2_TX_2,65
66,HOUSEHOLD_2_TX_3,66
67,HOUSEHOLD_2_WI_1,67
68,HOUSEHOLD_2_WI_2,68
69,HOUSEHOLD_2_WI_3,69
