,dataset,model,metric,avg_result,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
0,amazon-google,timesfm,mase,0.6267103823107123,0.4306662684229529,0.5005704264138441,0.5333894352145578,0.5494974858442441,0.5581089573810993,0.5644191197736875,0.5845845467120829,0.5832090426097779,0.5900363286122152,0.6001434150254569,0.6039476450246198,0.6052956437013554,0.6087644155719133,0.6120567405119124,0.6120797965059034,0.609390215851633,0.6134398294332435,0.6164089806497882,0.613401525126332,0.6142146676522692,0.6196227582319568,0.6233671494709221,0.6235202583190056,0.624111909432935,0.6388597369500103,0.6516477198922848,0.6556963932043564,0.658467726364568,0.6533587395186984,0.6566498680878035,0.6720957360424097,0.6652395228534871,0.6637834679015152,0.6736854271381106,0.6688275748160432,0.6758425126457019,0.6695853725868923,0.6679893979171466,0.6706603021931365,0.6640175038307892,0.6699276081906022,0.6694653562206602,0.672304633877885,0.6731987297490455,0.6731134268321385,0.6777702840249737,0.6740931806579011,0.6715715679243255
1,amazon-google,timesfm,wql,39.109267016592995,0.5691825174459515,0.6628201589700554,0.7025289277215392,0.7216023897612807,0.7311866874666182,0.7396260933014228,0.7659187242015205,0.7658502548796383,0.7757920202766708,0.7903348030058143,0.7922896403039954,0.7919691599832834,0.7971374055207914,0.8018587033914752,0.8042828876728624,0.7984050621847527,0.7995565344653646,0.8004694401855029,0.8015949793005672,0.8008732938618459,0.8050077098005912,0.8099942910251174,0.8114063320834902,0.8166366767847202,0.8343485918757418,0.8479617894352656,0.8513413979447334,0.8585097685480648,0.851553066477939,0.855371730350301,0.8712975410126492,0.8609400828228396,0.8562527483584096,0.8694426115190526,0.8617199832083438,0.86570600862925,0.8577072675345964,0.8588170701776349,0.8636260786721597,0.8573711415943412,0.8625369304725279,0.8612117680034004,0.8654274495462178,0.8685558108487282,0.8684710339811661,0.8732110558839492,0.8669971553921964,0.8645642407086176
2,amazon-google,timesfm,pce,0.030145104595336078,0.01127400548696845,0.008684842249657078,0.008187585733882037,0.009610768175582977,0.020061728395061724,0.007527434842249655,0.01472908093278464,0.02880658436213991,0.03252743484224966,0.03287037037037037,0.026860425240054876,0.03474794238683128,0.03429355281207133,0.023979766803840872,0.03100137174211249,0.024202674897119327,0.028660836762688616,0.03608539094650207,0.024065500685871058,0.021313443072702325,0.027160493827160487,0.022899519890260636,0.029020919067215364,0.03344478737997257,0.0230281207133059,0.03272462277091906,0.03605109739368998,0.03521947873799726,0.026954732510288067,0.0295181755829904,0.04547325102880659,0.04463305898491085,0.03866598079561042,0.04141803840877916,0.03344478737997257,0.04008058984910837,0.04469307270233198,0.04141803840877915,0.04444444444444445,0.03585390946502058,0.028806584362139905,0.03880315500685873,0.03165294924554184,0.03903463648834019,0.032484567901234565,0.037122770919067224,0.03747427983539095,0.035948216735253787
3,amazon-google,timesfm,mpiqr,0.17982544222308275,0.14794288992039034,0.15886008506266086,0.1643087263780974,0.17012861196318188,0.1723395662164007,0.17300840440647397,0.17498809590793743,0.17570618565782048,0.1733228650178706,0.17197741182003204,0.1690996269480743,0.17509532847392967,0.1759740079372445,0.17510254246871682,0.17554933036883774,0.17816620150729323,0.18106493727468523,0.17784576981855818,0.1756833061398937,0.17636079123108397,0.18075947132858503,0.1789238941151991,0.1778218145334713,0.1775634896832306,0.1822587413640439,0.18477763231376812,0.1821383091740769,0.18427603418354885,0.18678432784222251,0.18802660312425296,0.18397180983126427,0.18217758928746014,0.1864630936898876,0.18496041917485162,0.19044871065991661,0.19007750844136764,0.1903866523754042,0.18567556615639183,0.1898066993568176,0.18735977221887506,0.1871837380183441,0.18861840429041893,0.1866056689281791,0.1843700157974733,0.18664585972486183,0.18643034896818017,0.18524259176752267,0.1893417758391734
4,amazon-google,timesfm,tce_80,0.014083397633744854,0.013927469135802444,0.01458333333333333,0.008564814814814817,0.006712962962962941,0.007330246913580252,0.004513888888888887,0.00952932098765432,0.013117283950617287,0.016975308641975308,0.0150462962962963,0.00910493827160494,0.01315586419753087,0.01512345679012346,0.00713734567901235,0.01450617283950617,0.007677469135802473,0.009336419753086418,0.01871141975308642,0.009915123456790124,0.008410493827160498,0.013348765432098765,0.009452160493827154,0.01261574074074074,0.014351851851851852,0.01157407407407407,0.01701388888888889,0.015084876543209877,0.011882716049382715,0.01631944444444445,0.013966049382716048,0.022878086419753085,0.022376543209876545,0.0191358024691358,0.02033179012345679,0.0163966049382716,0.01813271604938272,0.02341820987654321,0.019984567901234568,0.02002314814814815,0.015354938271604938,0.01064814814814815,0.020293209876543213,0.012654320987654323,0.016165123456790123,0.014737654320987656,0.01577932098765432,0.013580246913580243,0.015123456790123453
5,amazon-google,timesfm,msiw_80,0.3502093797354827,0.28822894196619897,0.30112066533818027,0.3168831593634418,0.32573898020605413,0.32682104879464025,0.33207140441181293,0.33742624348841543,0.33712765768378733,0.3325051824161211,0.33338578096360677,0.3332407014800007,0.3370884881985913,0.34036383540018494,0.3410501031878881,0.3433695684103704,0.35019051669983886,0.35150537196798465,0.3446299147609299,0.34598463872770524,0.3450847068677666,0.3520472560831806,0.3483261493244616,0.35139579751660466,0.3487590247541884,0.3525642774039013,0.35669037219065397,0.3572233759543473,0.362512307974057,0.3679551896504308,0.3663435287810562,0.36187997537088845,0.3624752440423414,0.36262250769036236,0.3589471682764469,0.36634058457177293,0.37294462490164426,0.37406403700033924,0.3717189623879269,0.3709942568117646,0.3717171113130083,0.3646077278695854,0.3630013946525732,0.3606843180509394,0.3602822786127436,0.3627673657637642,0.36389952583110635,0.3654839037134818,0.3679850504760806
6,amazon-google,timesfm,msis_80,2.909241614542845,2.1182040858161897,2.4611847772920883,2.601213199065379,2.6607794488587917,2.6738795382237592,2.7095460940031395,2.799610116514532,2.793360219938887,2.841709613254305,2.8990211185574712,2.9089010219822087,2.873485918521374,2.90711479812714,2.91375928080459,2.9373093978454734,2.9059649619673293,2.884177137715266,2.884546573090928,2.9113996533527775,2.9068146022403822,2.8991816604929515,2.9198115727502394,2.9273655614106575,2.9477177495283176,2.9922508506545444,3.008753887376813,3.012901819776111,3.046832241205895,3.029611738662123,3.0407904124200624,3.0837697475153876,3.032480124050449,3.003506538064267,3.035467246673882,3.003520652305527,2.97096263707576,2.9445719670802033,2.984623752972727,3.014957885136053,3.003555440783141,3.013398663197918,3.012433143431271,3.0232393868252703,3.0179360773987427,3.0170477877764372,3.032842535865615,3.0148552380585847,3.0172296223955946
7,amazon-google,timesfm,mpiqr_80,0.13707660796291046,0.1128166404660751,0.11786263241512603,0.12403228217051085,0.1274985682041672,0.1279221042380068,0.12997716324055164,0.13207311845843395,0.13195624800420677,0.13014694971938434,0.13049162770018993,0.1304348416611845,0.13194091654686435,0.13322293099386287,0.13349154533127328,0.134399414861284,0.13706922471993763,0.1375838765555216,0.13489273118171963,0.13542298815608134,0.13507074285970658,0.1377959772036429,0.13633948653872027,0.13754098765823994,0.13650891973786036,0.13799834622340595,0.13961335458762708,0.13982197934808815,0.14189213766753647,0.14402255392967175,0.14339172843514247,0.14164463427852908,0.14187763035182382,0.1419352713018241,0.14049669458422603,0.1433905760324799,0.14597548523152185,0.14641363801177476,0.1454957446260173,0.1452120852270967,0.14549502009068038,0.1427123128774465,0.14208357269689373,0.14117663810484454,0.14101927452281593,0.14199197067793154,0.14243511318262267,0.14305525975325858,0.14403424185389052
8,amazon-google,timesfm,tce_60,0.026192772633744855,0.010532407407407421,0.011574074074074084,0.003163580246913586,0.011882716049382708,0.018287037037037046,0.00663580246913581,0.014081790123456783,0.027700617283950624,0.02912808641975309,0.030864197530864196,0.026195987654320976,0.03047839506172839,0.029745370370370366,0.021257716049382716,0.02635030864197531,0.02276234567901235,0.02781635802469136,0.028626543209876537,0.017554012345679007,0.018402777777777782,0.022029320987654324,0.01786265432098766,0.020061728395061734,0.030246913580246906,0.019483024691358014,0.029398148148148145,0.031211419753086417,0.02893518518518519,0.021103395061728397,0.021952160493827158,0.038155864197530864,0.039467592592592596,0.029359567901234576,0.03730709876543209,0.02546296296296295,0.03780864197530864,0.040740740740740744,0.035069444444444445,0.039158950617283944,0.03159722222222222,0.02584876543209877,0.028626543209876537,0.025810185185185186,0.04027777777777777,0.032445987654320996,0.032754629629629634,0.030439814814814822,0.03159722222222222
9,amazon-google,timesfm,msiw_60,0.21674564118354475,0.18124633532856668,0.1923859749579491,0.19587049426918252,0.20341495818167454,0.20682208240382846,0.20890209046042194,0.21364366835705037,0.21239819060941248,0.2098665009434272,0.20290898412053282,0.20555954768449305,0.20837740770892518,0.20911953170439818,0.2103376663556491,0.21314976055056264,0.21453098235367526,0.21536885205441053,0.21473654065887357,0.2080840867107678,0.2156589131862518,0.21512383797305298,0.21498354422573282,0.21027946282917603,0.21174488075462375,0.21733731825893918,0.22024556066118886,0.2216428233191749,0.22057455259391456,0.2247351964027729,0.22719824536912964,0.2237805333872348,0.22433516684726446,0.2237883684562844,0.22564903371801404,0.2277137535758764,0.23147150709972375,0.2317294827866407,0.22850233371346335,0.22679237169459035,0.22588097618926564,0.22786229675170014,0.2242943399745411,0.22379370574569807,0.22713142175195467,0.22626822696589047,0.22573217066607018,0.22471517172474803,0.22810192477342936
