,dataset,model,metric,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83
0,amazon-google,timesfm,pce,0.0141903863740283,0.0161286865569273,0.0315229195244627,0.0143347050754458,0.0408286179698216,0.0200795896204846,0.0288994627343392,0.0242176783264746,0.0280149748513946,0.0317336819844535,0.0460548125285779,0.0504929698216735,0.1058813443072702,0.0312978680841335,0.0583419067215363,0.0448173868312757,0.010491683813443,0.0147883802011888,0.0219985996799268,0.0932134487882944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,amazon-google,timesfm,mase,0.7324615310886481,0.6381745299482736,0.602516390877448,0.5392083022014813,0.5937683226683418,0.6565703419901877,0.6503532277026746,0.6463981440717365,0.6098134892393986,0.6197249565338177,0.7061324603517936,0.4979079259016272,0.7836443570861881,0.6345248050888865,0.777821253568569,0.6827433226603619,0.6539700278075119,0.6740544485387078,0.5842900779108289,0.6453978274822523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,amazon-google,timesfm,wql,87.68997124839078,75.21105433314864,41.02130126744861,38.56809139881885,33.76529527589062,40.68823107223012,39.39985825389736,39.67787142404611,38.83684809973546,38.18008506865961,43.86555630252897,35.90153300019188,44.58639898946736,43.27391128094485,56.86816557206822,39.788069928548495,43.197211466762376,46.94539447153274,39.26852716800241,34.684961627319176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,amazon-google,timesfm,mpiqr,0.4637666237374369,0.457518366260397,0.2666528550883468,0.2404128518660169,0.1804742490735394,0.2117774208148753,0.2185757760718272,0.2256443218125267,0.2191370191215944,0.2039243354034346,0.2148509693818551,0.1216762557283786,0.1430772021780535,0.1984795481029388,0.1505751361776618,0.151735729843158,0.2027435297408087,0.2110367685588516,0.2163784959900203,0.1462393205865198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,amazon-google,timesfm,tce_80,0.0082208076131687,0.0179108796296296,0.0182677469135802,0.0099151234567901,0.0180716306584362,0.0112332818930041,0.0116930298353909,0.0116898148148148,0.0143004115226337,0.0136863425925925,0.0229134516460905,0.0259194958847736,0.066261574074074,0.0144804526748971,0.0478748713991769,0.0329089506172839,0.0074652777777777,0.0200070730452674,0.0192097479423868,0.0503054269547325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,amazon-google,timesfm,tce_60,0.0145994084362139,0.0153742283950617,0.0272665895061728,0.0131462191358024,0.0357606738683127,0.0197595164609053,0.0241930298353909,0.0188818158436214,0.0240579989711934,0.0277681327160493,0.0393840020576131,0.045338220164609,0.0970293209876543,0.0255979938271604,0.0516493055555555,0.040113811728395,0.011500128600823,0.0141139403292181,0.024096579218107,0.0810956790123456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,amazon-google,timesfm,tce_40,0.0196405606995884,0.0123906893004115,0.0374742798353909,0.0169560185185185,0.0474472736625514,0.0263470936213991,0.033400848765432,0.0279320987654321,0.0323077417695473,0.0376800411522633,0.0509387860082304,0.0563271604938271,0.1160300925925926,0.0308577674897119,0.0599022633744856,0.0488072273662551,0.0108378343621399,0.0133680555555555,0.0218782150205761,0.1063303755144032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,amazon-google,timesfm,tce_20,0.015480324074074,0.0167438271604938,0.0403903034979423,0.0172550154320987,0.053980195473251,0.0222800925925925,0.0395093878600823,0.0327128343621399,0.0362879372427983,0.0411779835390946,0.0619245113168724,0.0651363168724279,0.1304333847736625,0.0438625257201646,0.0688882458847736,0.0520061728395061,0.0111078960905349,0.0119052211934156,0.0239390432098765,0.1201453189300411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,amazon-google,timesfm,tce_0,0.0118312757201646,0.0203189300411522,0.0369084362139917,0.0144675925925925,0.0569380144032921,0.0214763374485596,0.0425025720164609,0.0355259773662551,0.0382265946502057,0.0449781378600823,0.0641718106995884,0.068994341563786,0.133423353909465,0.0521154835390946,0.0684477880658436,0.0556841563786008,0.0126028806584362,0.014306841563786,0.0197402263374485,0.1231674382716049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,amazon-google,timesfm,msis_80,3.426300970030484,3.016462393485748,2.634731057658974,2.429075248184116,2.6737729307551463,3.0203964752508448,3.0034065527832303,3.001560303862597,2.7642545204742013,2.866398012795452,3.3561050575510736,2.1932020269548977,3.695121952526911,2.972633928061057,3.732041175260493,3.3355129552041163,3.0428761188497657,3.050927847050809,2.734921024797307,3.363908230254786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
